                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      200       0.45262       0.81719       0.58235       0.092942      1      5      2.885         1.2656        0.68896       0.81719       0.73286       0.033659      1      5      3.1           1.179     
1      176       0.4831        0.81719       0.60999       0.098633      1      5      3.025         1.2706        0.69895       0.81719       0.74406       0.029942      1      5      2.85          1.2757    
2      176       0.48142       0.81719       0.64166       0.094058      1      5      3.105         1.3168        0.69895       0.81719       0.7467        0.029516      1      5      3             1.2247    
3      171       0.48142       0.81719       0.66315       0.094489      1      5      3.2335        1.3123        0.72153       0.81719       0.76018       0.028305      1      5      3.1           1.179     
4      172       0.5           0.81719       0.69297       0.080827      1      5      3.2732        1.321         0.73102       0.81719       0.7745        0.020497      1      5      3.4           1.1136    
5      161       0.5           0.81719       0.71458       0.073606      1      6      3.2423        1.327         0.72664       0.81719       0.77645       0.020553      2      5      3.4           1.0198    
6      167       0.48629       0.81719       0.71819       0.075838      1      6      3.3455        1.2968        0.76193       0.81719       0.78319       0.013706      2      5      3.35          1.0618    
7      155       0.5           0.81719       0.72864       0.071741      1      6      3.3564        1.274         0.75061       0.81719       0.7904        0.01498       2      5      3.2           1.077     
8      155       0.45315       0.82822       0.73531       0.075736      1      6      3.2926        1.169         0.75061       0.82822       0.79824       0.017542      2      5      3.35          0.96307   
9      151       0.5           0.82822       0.76029       0.054333      1      5      3.3883        1.1267        0.75061       0.82822       0.80026       0.016554      2      5      3.35          0.96307   
--- 3602.010372400284 sec ---
