pipeline	fitness	fit_time
maxAbsScaler();pca(0.8534894654273016,True);maxAbsScaler();multinomialNB(9.725689938863905,True)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
varianceThreshold();maxAbsScaler();maxAbsScaler();adaBoost(decisionTree('gini',7,9,0.46134770254563384,4,'None'),91,1.8226495329183878,'SAMME')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
minMaxScaler();fastICA(4,'deflation','arbitrary-variance','cube');maxAbsScaler();adaBoost(decisionTree('gini',2,9,0.18665672880146833,17,'balanced'),37,0.594072497339047,'SAMME')	eval_error (BaseClassifier in AdaBoostClassifier ensemble is worse than random, ensemble can not be fit.)	eval_error (BaseClassifier in AdaBoostClassifier ensemble is worse than random, ensemble can not be fit.)
selectPercentile(64.88767841197175);maxAbsScaler();maxAbsScaler();decisionTree('gini',17,8,0.5883400736089128,2,'None')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
minMaxScaler();adaBoost(decisionTree('entropy',30,15,0.48352257188411496,6,'None'),13,0.7101824637285459,'SAMME.R')	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)
minMaxScaler();nystroem('cosine',1.5832887498268873,56,3,0.858367136016849);adaBoost(decisionTree('entropy',4,8,0.5613868757541819,11,'None'),84,1.4295784621776957,'SAMME.R')	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)
robustScaler(False,False);randomForest(57,'gini',0.6140469483122213,4,13,False,'balanced')	0.7878624588521541	2.1601998805999756
varianceThreshold();minMaxScaler();maxAbsScaler();selectPercentile(62.67101259229533);bernoulliNB(1.2798036689945347,False)	0.5974545584657222	1.2553093433380127
selectPercentile(47.107090922381936);logisticRegression('l2','liblinear',1000,0.4156196104389417,'None')	0.5	1.676626443862915
gaussianNB(0.009001268870153137)	0.5	1.3566620349884033
lda(0.4749653849366374,64,0.0959999874277292)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)
maxAbsScaler();varianceThreshold();selectPercentile(85.42690827571663);nystroem('sigmoid',0.1723186882042884,51,2,-0.8200802950213784);mlpClassifier((82, 9),0.07957942637449097,0.06937328562933401,'sgd','logistic')	0.5	9.16040587425232
maxAbsScaler();maxAbsScaler();pca(0.9220881454677948,True);decisionTree('gini',18,17,0.6570978700911487,12,'None')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
robustScaler(True,True);pca(0.7215772345737769,False);minMaxScaler();kNN(17,'distance',1)	0.6430116645198225	1.6392040252685547
selectFwe(0.0467040859202195);maxAbsScaler();adaBoost(decisionTree('entropy',6,2,0.31349221594874466,17,'None'),98,1.4036697593533005,'SAMME.R')	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)
mlpClassifier((56, 14),0.034545478705289796,0.19072907650296858,'lbfgs','relu')	0.5	3.688960313796997
selectFwe(0.020697662057810973);minMaxScaler();adaBoost(decisionTree('gini',11,6,0.6049773554827524,16,'None'),68,1.0196252882354515,'SAMME.R')	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)
fastICA(92,'parallel','arbitrary-variance','logcosh');maxAbsScaler();varianceThreshold();maxAbsScaler();mlpClassifier((25, 6),0.08595489590979694,0.04649113679281867,'adam','identity')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
randomForest(85,'entropy',0.6667682616266237,20,17,False,'balanced')	0.7459485473021326	3.067559242248535
maxAbsScaler();minMaxScaler();maxAbsScaler();extraTreesClassifier(78,'gini','log2',9,12,True,'balanced_subsample')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
robustScaler(False,True);maxAbsScaler();adaBoost(decisionTree('gini',23,5,0.19846553707611192,17,'None'),74,0.0793014943287898,'SAMME.R')	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)
minMaxScaler();maxAbsScaler();extraTreesClassifier(91,'gini','sqrt',14,12,False,'balanced')	0.773131887791613	2.9953396320343018
bernoulliNB(8.08179739240647,True)	0.5	1.5734972953796387
nystroem('rbf',3.7063134317541366,74,5,-0.9708683519029775);multinomialNB(9.185694399707694,True)	eval_error (Negative values in data passed to MultinomialNB (input X).)	eval_error (Negative values in data passed to MultinomialNB (input X).)
minMaxScaler();mlpClassifier((60, 10),0.057791228780402895,0.051935881333576295,'lbfgs','logistic')	0.4992700729927007	36.68823862075806
multinomialNB(41.902024025014086,False)	0.519359882639187	0.5727109909057617
