pipeline	fitness	fit_time
minMaxScaler();maxAbsScaler();robustScaler(False,True);selectFwe(0.043168370170762464);mlpClassifier((24, 5),0.088916044724055,0.06296705384792585,'sgd','tanh')	0.5940955948609544	3.0774848461151123
maxAbsScaler();maxAbsScaler();nystroem('rbf',0.06854319860929733,77,4,0.7417946443599026);pca(0.9639816837297337,False);extraTreesClassifier(28,'entropy','sqrt',18,19,True,'None')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
minMaxScaler();varianceThreshold();qda(0.09414329025639723)	0.5	0.8724541664123535
minMaxScaler();minMaxScaler();minMaxScaler();adaBoost(decisionTree('gini',6,20,0.1185284358785702,2,'None'),68,0.07243000391896419,'SAMME')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
varianceThreshold();selectPercentile(38.69036711861144);varianceThreshold();multinomialNB(75.59986839529965,True)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
varianceThreshold();nystroem('poly',6.319960599914789,49,4,0.1319580101647435);minMaxScaler();adaBoost(decisionTree('gini',24,4,0.7932987950681606,18,'None'),93,1.1186914411135158,'SAMME.R')	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)
varianceThreshold();minMaxScaler();minMaxScaler();gaussianNB(0.0025472202335614855)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
decisionTree('entropy',9,18,0.053111478770813236,11,'balanced')	0.7431704193184586	0.7617883682250977
multinomialNB(1.3534703806893873,False)	0.5837106764974243	0.9033398628234863
robustScaler(False,True);nystroem('sigmoid',4.658570121617111,51,3,-0.7943751055614803);maxAbsScaler();extraTreesClassifier(27,'gini','sqrt',20,5,True,'balanced')	0.584735595314333	2.0257067680358887
maxAbsScaler();minMaxScaler();adaBoost(decisionTree('entropy',26,2,0.6233618522907176,8,'balanced'),15,0.03371111758549609,'SAMME.R')	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)
maxAbsScaler();decisionTree('gini',22,15,0.6608562735237279,20,'balanced')	0.7502249890905793	1.144057035446167
mlpClassifier((52, 16),0.07834767434786696,0.3614295610767216,'lbfgs','identity')	0.5	5.05458664894104
minMaxScaler();mlpClassifier((62, 20),0.0004734803238501889,0.6539221935170958,'adam','tanh')	0.5	2.3925857543945312
