                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      200       0.47666       0.79016       0.60579       0.10633       1      6      2.84          1.3433        0.73842       0.79016       0.76339       0.014119      1      4      2.2           1.1225    
1      175       0.48482       0.79995       0.6451        0.10207       1      6      2.88          1.3804        0.74083       0.79995       0.76972       0.013602      1      5      2.1           1.2207    
2      179       0.5           0.79995       0.67071       0.099666      1      6      2.8182        1.4097        0.73752       0.79995       0.77193       0.012903      1      4      2.2           1.2083    
3      164       0.5           0.80834       0.69522       0.09861       1      6      2.8265        1.5355        0.75095       0.80834       0.77695       0.013305      1      4      2.3           1.2288    
4      170       0.5           0.80834       0.72515       0.078126      1      6      2.759         1.4809        0.76847       0.80834       0.78194       0.010871      1      5      2.2           1.3638    
5      167       0.45586       0.80834       0.72908       0.092443      1      6      2.5515        1.4287        0.77117       0.80834       0.78922       0.0097998     1      5      2.15          1.3883    
6      162       0.45586       0.80834       0.738         0.081622      1      6      2.4895        1.4354        0.77646       0.80834       0.79438       0.0077494     1      4      1.8           1.1662    
7      146       0.45586       0.81017       0.75347       0.073974      1      6      2.3946        1.4411        0.77646       0.81017       0.79725       0.0079745     1      4      1.85          1.1948    
8      145       0.49827       0.81017       0.75729       0.074328      1      6      2.0549        1.3331        0.77646       0.81017       0.79986       0.0077342     1      4      2.25          1.2196    
--- 3600.8612563610077 sec ---
