                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      200       0.46408       0.84533       0.63168       0.12355       1      6      2.84          1.3433        0.77221       0.84533       0.81103       0.023369      1      4      2.2           1.077     
1      176       0.47973       0.85482       0.67534       0.12521       1      6      2.8995        1.3746        0.76183       0.85482       0.82618       0.01789       1      5      2.45          1.244     
2      172       0.48112       0.87116       0.71484       0.12168       1      6      2.8794        1.4126        0.80749       0.87116       0.8353        0.013487      1      5      2.5           1.118     
3      174       0.49792       0.87116       0.75184       0.1082        1      6      3.0051        1.4794        0.77443       0.87116       0.83718       0.018679      1      5      2.9           0.99499   
4      160       0.49371       0.87116       0.78366       0.09137       1      6      2.9223        1.4393        0.83326       0.87116       0.84544       0.01016       1      5      3.1           0.99499   
5      159       0.49787       0.87798       0.78828       0.09753       1      6      2.9479        1.391         0.83526       0.87798       0.85171       0.011224      1      5      2.8           1.249     
6      162       0.49574       0.87798       0.79242       0.095376      1      6      2.8594        1.3174        0.83526       0.87798       0.85496       0.0088508     1      4      2.9           1.261     
7      158       0.5           0.87798       0.81877       0.065051      1      6      2.9005        1.3006        0.84903       0.87798       0.86071       0.0075341     1      4      2.85          1.1522    
8      158       0.5419        0.88324       0.83192       0.040274      1      6      2.9372        1.2091        0.82852       0.88324       0.8636        0.012121      1      4      3.3           1.005     
9      159       0.43808       0.88324       0.82021       0.076376      1      6      3.0053        1.163         0.82852       0.88324       0.86621       0.011556      1      4      3.35          1.0137    
10     145       0.49792       0.88324       0.82588       0.069592      1      6      3.1505        1.1909        0.85276       0.88324       0.86834       0.0083493     2      4      3.65          0.65383   
11     135       0.5           0.88324       0.83239       0.057744      1      5      3.2043        1.1506        0.85276       0.88324       0.87238       0.0068801     1      4      3.75          0.69821   
12     129       0.4807        0.88324       0.8373        0.050478      1      5      3.2717        1.1431        0.86686       0.88324       0.8746        0.0040809     1      4      3.6           0.91652   
13     138       0.72206       0.88324       0.8448        0.025947      1      5      3.5217        0.9722        0.86686       0.88324       0.87545       0.0037555     1      4      3.6           0.91652   
14     130       0.48598       0.88478       0.83852       0.054716      1      5      3.6167        0.85813       0.86686       0.88478       0.87645       0.0040163     1      4      3.7           0.71414   
15     125       0.50791       0.88478       0.84219       0.047649      1      5      3.691         0.74202       0.87372       0.88478       0.87724       0.0031309     3      4      3.9           0.3       
--- 3602.4609105587006 sec ---
