pipeline	fitness	fit_time
selectFwe(0.03511888658454656);minMaxScaler();varianceThreshold();fastICA(29,'deflation','unit-variance','logcosh');gaussianNB(0.0004324407148895682)	0.640249433106576	1.2043766975402832
fastICA(12,'parallel','unit-variance','exp');varianceThreshold();minMaxScaler();qda(0.6091310056669882)	eval_error (array must not contain infs or NaNs)	eval_error (array must not contain infs or NaNs)
maxAbsScaler();qda(0.8218025940068083)	0.5	1.1985106468200684
fastICA(84,'deflation','unit-variance','exp');adaBoost(decisionTree('gini',17,17,0.09090941217379389,2,'balanced'),29,0.9997595874046005,'SAMME')	eval_error (illegal value in 4th argument of internal gesdd)	eval_error (illegal value in 4th argument of internal gesdd)
selectFwe(0.022942478825773428);maxAbsScaler();varianceThreshold();varianceThreshold();decisionTree('gini',12,7,0.5393790301196257,17,'balanced')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
maxAbsScaler();robustScaler(False,True);minMaxScaler();adaBoost(decisionTree('entropy',15,18,0.45148614139112975,8,'balanced'),18,0.4593793182597367,'SAMME.R')	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)
maxAbsScaler();varianceThreshold();pca(0.5951859161895027,False);adaBoost(decisionTree('entropy',26,5,0.24865633392028563,7,'None'),27,0.5987735800266115,'SAMME')	0.8834608843537415	0.8016006946563721
maxAbsScaler();nystroem('poly',6.2635785520739,31,5,-0.9956892432971471);minMaxScaler();kNN(24,'distance',1)	0.8049886621315192	0.9860556125640869
fastICA(69,'parallel','unit-variance','cube');randomForest(40,'entropy','None',9,19,True,'balanced')	eval_error (array must not contain infs or NaNs)	eval_error (array must not contain infs or NaNs)
minMaxScaler();maxAbsScaler();minMaxScaler();selectPercentile(35.202865826522476);randomForest(79,'entropy','None',19,10,True,'None')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
extraTreesClassifier(53,'gini','log2',18,16,False,'balanced')	0.7242630385487528	0.9675977230072021
lda(0.44183551186085057,181,0.041611090784645435)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)
logisticRegression('None','liblinear',1000,3.0565936532910296,'balanced')	eval_error (penalty=None is not supported for the liblinear solver)	eval_error (penalty=None is not supported for the liblinear solver)
maxAbsScaler();minMaxScaler();mlpClassifier((30, 6),0.08765042334825297,0.01832113302637054,'adam','tanh')	0.5	0.949937105178833
nystroem('poly',1.1560933080190414,39,3,-0.952671130597097);selectFwe(0.014442366618773444);logisticRegression('l1','lbfgs',1000,16.417720508480855,'None')	eval_error (Solver lbfgs supports only 'l2' or None penalties, got l1 penalty.)	eval_error (Solver lbfgs supports only 'l2' or None penalties, got l1 penalty.)
minMaxScaler();gaussianNB(0.001893137230228278)	0.6485402494331065	0.8879177570343018
mlpClassifier((95, 7),0.035389400822396624,0.05067384069912662,'adam','tanh')	0.5	0.6687784194946289
selectPercentile(89.4749434817931);pca(0.6434281670627767,False);fastICA(88,'parallel','arbitrary-variance','cube');extraTreesClassifier(52,'gini','sqrt',11,8,True,'balanced')	0.7127692743764171	1.00396728515625
adaBoost(decisionTree('gini',5,2,0.8926598262113665,4,'None'),38,0.2231524116944717,'SAMME')	0.8432256235827664	0.9913365840911865
extraTreesClassifier(81,'entropy','log2',18,14,True,'None')	0.5	1.4350504875183105
minMaxScaler();varianceThreshold();selectFwe(0.012124553597234161);logisticRegression('None','sag',1000,2.8755632705585152,'balanced')	0.700609410430839	0.8694682121276855
robustScaler(True,True);nystroem('cosine',1.9234529220261243,44,5,-0.028716012402999258);gaussianNB(0.008398379763980276)	0.7249716553287981	1.1980082988739014
minMaxScaler();gaussianNB(0.0032625786763609437)	0.6464994331065761	0.7834010124206543
minMaxScaler();robustScaler(True,False);maxAbsScaler();randomForest(82,'gini',0.8497324856230755,13,6,True,'None')	0.7300736961451247	0.9750943183898926
multinomialNB(4.687681813599918,True)	0.547548185941043	0.765777587890625
fastICA(74,'parallel','arbitrary-variance','cube');gaussianNB(0.008489390950180213)	eval_error (array must not contain infs or NaNs)	eval_error (array must not contain infs or NaNs)
varianceThreshold();pca(0.6341709294708078,True);varianceThreshold();lda(0.6681884704454936,87,0.002748886177288014)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
nystroem('cosine',0.20700104585316448,62,5,0.11035242316372162);adaBoost(decisionTree('entropy',16,19,0.5309219311457678,14,'None'),55,1.1708564525311265,'SAMME')	0.8612811791383221	2.264410972595215
minMaxScaler();adaBoost(decisionTree('gini',10,9,0.36088106914938645,10,'balanced'),100,0.8065932381606129,'SAMME')	0.8732142857142857	0.7989816665649414
logisticRegression('l1','saga',1000,1.5255946497657384,'None')	0.5	0.7503068447113037
maxAbsScaler();fastICA(73,'deflation','unit-variance','cube');minMaxScaler();lda(0.060230304372540844,246,0.07308818300201152)	eval_error (illegal value in 4th argument of internal gesdd)	eval_error (illegal value in 4th argument of internal gesdd)
pca(0.7349092482559422,False);qda(0.6873849200712427)	0.5	0.6310937404632568
