                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      200       0.43016       0.80666       0.6285        0.10212       1      6      2.77          1.318         0.74276       0.80666       0.77215       0.016347      1      5      2.25          1.3739    
1      177       0.5           0.81167       0.66565       0.096621      1      6      2.8141        1.2033        0.7591        0.81167       0.78302       0.0148        1      5      2.75          1.26      
2      182       0.48411       0.81167       0.69457       0.089405      1      5      2.7949        1.2106        0.73054       0.81167       0.78295       0.01841       1      5      2.75          1.337     
3      173       0.5           0.81167       0.71925       0.081512      1      5      2.8385        1.303         0.73054       0.81167       0.79061       0.017896      1      5      2.25          1.26      
4      169       0.5           0.81167       0.72831       0.081438      1      5      2.6875        1.3448        0.73054       0.81167       0.79314       0.017605      1      5      2.4           1.241     
5      174       0.5           0.81167       0.75044       0.068591      1      6      2.672         1.421         0.73054       0.81167       0.79545       0.015886      1      5      2.35          1.2757    
6      153       0.5           0.81807       0.75844       0.066599      1      6      2.6739        1.508         0.73054       0.81807       0.79667       0.016726      1      5      2.5           1.4318    
7      137       0.44041       0.81807       0.77111       0.058037      1      5      2.4167        1.4137        0.73054       0.81807       0.79913       0.017079      1      5      2.65          1.5898    
8      143       0.5           0.81807       0.77596       0.049866      1      5      2.2712        1.317         0.73054       0.81807       0.80031       0.017127      1      5      2.55          1.4992    
9      139       0.59808       0.81807       0.78863       0.034308      1      5      2.339         1.373         0.73054       0.81807       0.8006        0.017183      1      5      2.35          1.4239    
--- 3603.4770891666412 sec ---
