pipeline	fitness	fit_time
selectFwe(0.013971710118213944);adaBoost(decisionTree('entropy',29,9,0.39207083111747565,4,'None'),99,1.3219387153935853,'SAMME')	0.499296874141021	2.023768186569214
varianceThreshold();decisionTree('entropy',26,8,0.8678045458688727,9,'balanced')	0.7234092283457325	1.2184185981750488
fastICA(24,'parallel','unit-variance','exp');gaussianNB(0.004875981351865978)	0.5587724059208705	2.446021556854248
minMaxScaler();maxAbsScaler();varianceThreshold();varianceThreshold();decisionTree('gini',10,15,0.3756221919212819,9,'None')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
nystroem('poly',0.07283230247530376,31,5,-0.841440042088569);randomForest(56,'gini',0.6788970057202638,5,15,True,'balanced_subsample')	0.64274250570487	4.872934818267822
pca(0.5154186007732566,True);pca(0.8368434920209009,True);mlpClassifier((83, 1),0.0020471161677269494,0.5432040265469587,'lbfgs','relu')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
maxAbsScaler();varianceThreshold();minMaxScaler();bernoulliNB(5.5633814140362245,True)	0.49789117216962986	1.369063377380371
bernoulliNB(0.8733994950777562,True)	0.5	1.0764503479003906
selectPercentile(29.912272382405458);nystroem('sigmoid',1.37888616647132,64,3,-0.23306515685234985);minMaxScaler();randomForest(69,'gini',0.8568779831593858,19,3,False,'None')	0.5	4.407727003097534
varianceThreshold();varianceThreshold();robustScaler(True,True);minMaxScaler();qda(0.9712326999771631)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
lda(0.05152972578770987,128,0.01790798433854458)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)
adaBoost(decisionTree('gini',27,9,0.021285697272351967,12,'None'),10,1.3784265123469284,'SAMME.R')	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)
minMaxScaler();minMaxScaler();varianceThreshold();extraTreesClassifier(88,'entropy','log2',12,12,False,'balanced_subsample')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
adaBoost(decisionTree('gini',5,6,0.654306107193385,16,'None'),13,1.163671915645616,'SAMME.R')	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)
pca(0.9077442297283207,False);selectFwe(0.009095936650346158);minMaxScaler();maxAbsScaler();kNN(28,'distance',2)	eval_error (Found array with 0 feature(s) (shape=(1748, 0)) while a minimum of 1 is required by MinMaxScaler.)	eval_error (Found array with 0 feature(s) (shape=(1748, 0)) while a minimum of 1 is required by MinMaxScaler.)
selectFwe(0.04313758051743274);selectFwe(0.040749241815178784);robustScaler(True,False);multinomialNB(7.914996607257698,False)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
varianceThreshold();fastICA(75,'parallel','arbitrary-variance','logcosh');logisticRegression('l2','lbfgs',1000,14.963675575417586,'None')	0.5	5.200559139251709
kNN(18,'uniform',2)	0.5	1.2080302238464355
maxAbsScaler();minMaxScaler();logisticRegression('None','liblinear',1000,7.206950923783087,'None')	eval_error (penalty=None is not supported for the liblinear solver)	eval_error (penalty=None is not supported for the liblinear solver)
varianceThreshold();nystroem('rbf',5.445714094895889,22,5,-0.5919461343014323);kNN(31,'uniform',2)	0.5	2.4234886169433594
randomForest(34,'gini','sqrt',15,12,False,'balanced')	0.7065852541978149	1.600109577178955
selectFwe(0.01764246041275361);gaussianNB(0.00047679644938940566)	0.5	1.0662806034088135
varianceThreshold();maxAbsScaler();maxAbsScaler();kNN(30,'distance',2)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
randomForest(79,'gini','log2',5,3,False,'None')	0.6063348596297107	2.5612401962280273
maxAbsScaler();varianceThreshold();minMaxScaler();minMaxScaler();varianceThreshold();multinomialNB(3.9768960522853702,True)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
pca(0.5954318229927958,False);multinomialNB(99.20799352540618,True)	eval_error (Negative values in data passed to MultinomialNB (input X).)	eval_error (Negative values in data passed to MultinomialNB (input X).)
selectFwe(0.032254793394606976);maxAbsScaler();extraTreesClassifier(31,'entropy','sqrt',10,9,False,'balanced')	0.7125695554349445	1.0820441246032715
mlpClassifier((48, 12),0.09659530472502961,0.14921567393588442,'adam','identity')	0.5	2.3419716358184814
selectPercentile(53.4008253845411);maxAbsScaler();adaBoost(decisionTree('entropy',23,17,0.7983253537989112,16,'None'),10,0.3083643788755388,'SAMME')	0.5963071823889188	1.2122020721435547
decisionTree('gini',27,15,0.743293689556957,1,'None')	0.6484542625849483	0.8287827968597412
gaussianNB(0.0031577721809973153)	0.4995316159250585	0.8160696029663086
maxAbsScaler();selectPercentile(20.41119164783345);qda(0.4763429759239841)	0.5	1.87666916847229
minMaxScaler();varianceThreshold();adaBoost(decisionTree('gini',4,14,0.5413120516605402,3,'balanced'),88,0.1395136407022176,'SAMME.R')	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)
maxAbsScaler();varianceThreshold();multinomialNB(2.5116265376334335,True)	0.5	1.3413887023925781
maxAbsScaler();varianceThreshold();varianceThreshold();qda(0.13579613551777237)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
varianceThreshold();pca(0.5309047153028775,False);mlpClassifier((21, 16),0.07964453205944211,0.31108998762760715,'lbfgs','identity')	0.5	22.81654691696167
maxAbsScaler();gaussianNB(0.002788125140189726)	0.4981231652208332	0.6893196105957031
pca(0.6181373946065492,False);qda(0.3067864093825794)	0.4974222383481215	1.1176128387451172
pca(0.52494595104835,True);decisionTree('entropy',15,16,0.6328056442362695,7,'balanced')	0.6695217004960714	1.3674201965332031
randomForest(52,'gini','log2',7,1,False,'balanced')	0.6619372669199499	1.9283854961395264
maxAbsScaler();maxAbsScaler();robustScaler(True,True);qda(0.24286569442334427)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
varianceThreshold();extraTreesClassifier(24,'gini','sqrt',2,20,True,'balanced')	0.7091068917229156	1.1676185131072998
maxAbsScaler();minMaxScaler();minMaxScaler();mlpClassifier((47, 12),0.05979633207711857,0.023720259101318045,'lbfgs','tanh')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
adaBoost(decisionTree('entropy',30,18,0.4822286022101796,19,'None'),75,0.30897270112744163,'SAMME')	0.6631093266004372	3.2879960536956787
adaBoost(decisionTree('gini',6,9,0.07696901655055277,6,'balanced'),89,0.014220344054717728,'SAMME')	0.7321882112346207	2.6383719444274902
varianceThreshold();varianceThreshold();mlpClassifier((12, 14),0.010139243508457524,0.022693228324716718,'adam','identity')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
lda(0.9966398604857563,242,0.0918523222330089)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)
qda(0.3833398615711179)	0.49554815230178895	0.897913932800293
fastICA(10,'parallel','arbitrary-variance','logcosh');nystroem('cosine',0.7557836789307537,59,3,-0.30693890535943247);varianceThreshold();mlpClassifier((99, 7),0.0160740378300396,0.4319969906689145,'adam','identity')	0.4957768468735913	11.19685959815979
maxAbsScaler();pca(0.8469032781527381,True);kNN(36,'uniform',1)	0.5	0.8678662776947021
minMaxScaler();selectFwe(0.005983787035427339);varianceThreshold();decisionTree('entropy',16,20,0.08285933269745238,13,'None')	0.5	0.7459297180175781
robustScaler(True,False);maxAbsScaler();adaBoost(decisionTree('entropy',6,13,0.9021990082100384,20,'balanced'),61,1.454246783817414,'SAMME.R')	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)
varianceThreshold();minMaxScaler();selectPercentile(49.94057575988014);lda(0.0548034579759894,96,0.04919101058754719)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)
minMaxScaler();maxAbsScaler();minMaxScaler();kNN(15,'distance',2)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
nystroem('rbf',0.6987381437027835,16,4,0.8471074931832556);kNN(3,'uniform',2)	0.5	2.259910821914673
maxAbsScaler();pca(0.8771165800900018,False);mlpClassifier((81, 17),0.04572347141825628,0.9489209244671136,'lbfgs','logistic')	0.5	2.4240574836730957
adaBoost(decisionTree('entropy',18,3,0.8611093746947203,7,'None'),12,0.7752759609622936,'SAMME.R')	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)	eval_error (The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.)
selectFwe(0.04815687022629096);pca(0.8822175921259557,False);adaBoost(decisionTree('gini',20,20,0.4929389586609223,12,'balanced'),86,0.7341493501197409,'SAMME')	0.6931129249416019	1.3756182193756104
pca(0.5673871045793949,True);selectPercentile(47.60786873808483);selectFwe(0.00931266539136771);kNN(16,'uniform',2)	eval_error (Found array with 0 feature(s) (shape=(1748, 0)) while a minimum of 1 is required by SelectFwe.)	eval_error (Found array with 0 feature(s) (shape=(1748, 0)) while a minimum of 1 is required by SelectFwe.)
pca(0.8260475546611258,False);robustScaler(False,False);fastICA(31,'parallel','unit-variance','exp');randomForest(36,'gini','None',9,20,False,'balanced')	0.6397776325114123	1.0880377292633057
maxAbsScaler();varianceThreshold();maxAbsScaler();adaBoost(decisionTree('gini',15,11,0.4446146534872575,19,'balanced'),47,1.8221363451224983,'SAMME.R')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
robustScaler(True,True);decisionTree('entropy',24,8,0.9434955147782088,12,'balanced')	0.7448520831896495	0.6073722839355469
varianceThreshold();minMaxScaler();qda(0.4123891688286513)	0.5	0.6134881973266602
selectFwe(0.01920406591929322);maxAbsScaler();pca(0.7269994049460312,True);maxAbsScaler();logisticRegression('None','liblinear',1000,4.223864452873283,'balanced')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
maxAbsScaler();selectPercentile(66.95609619906999);lda(0.978772744567373,224,0.07032606608431344)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)
fastICA(23,'parallel','unit-variance','logcosh');randomForest(46,'gini','None',17,11,True,'None')	0.5	2.565974473953247
maxAbsScaler();decisionTree('gini',22,9,0.9790021047343852,11,'balanced')	0.758599705535748	0.8101465702056885
minMaxScaler();varianceThreshold();lda(0.32817033416317387,44,0.04427905178665775)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)
gaussianNB(0.007214600049421331)	0.4995316159250585	0.8738605976104736
nystroem('cosine',5.242048195952658,39,3,-0.6375906663893378);logisticRegression('None','sag',1000,1.9328127026204596,'None')	0.5	5.581948280334473
minMaxScaler();selectPercentile(38.622009637977314);fastICA(20,'parallel','unit-variance','exp');logisticRegression('l2','newton-cg',1000,17.95360336926052,'None')	0.5	0.9090874195098877
minMaxScaler();minMaxScaler();randomForest(76,'entropy','None',13,19,False,'balanced')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
robustScaler(False,True);robustScaler(False,False);adaBoost(decisionTree('entropy',8,11,0.544198344385477,18,'None'),87,1.1245734854313676,'SAMME')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
minMaxScaler();maxAbsScaler();nystroem('rbf',2.112368780733218,13,5,0.12655410685540724);lda(0.9904901169002476,230,0.06696912357994567)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)
