                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      200       0.48128       0.75031       0.56878       0.077058      1      6      2.85          1.3592        0.65792       0.75031       0.69517       0.026653      1      5      2.45          1.2031    
1      187       0.49019       0.77482       0.60041       0.084948      1      6      2.825         1.3433        0.68578       0.77482       0.71803       0.022131      1      5      2.2           1.3638    
2      180       0.48902       0.77482       0.62412       0.090536      1      6      2.7245        1.4162        0.68578       0.77482       0.73441       0.025041      1      5      2.3           1.4177    
3      172       0.4796        0.77482       0.64412       0.089051      1      6      2.7526        1.4397        0.70272       0.77482       0.74543       0.018338      1      5      2.5           1.5       
4      170       0.4946        0.79508       0.66209       0.087567      1      6      2.7354        1.4489        0.70647       0.79508       0.74987       0.020759      1      5      2.4           1.562     
5      161       0.5           0.79508       0.68818       0.077142      1      6      2.6216        1.4842        0.72218       0.79508       0.75941       0.019814      1      5      2.3           1.4177    
6      136       0.49412       0.79508       0.70089       0.075745      1      5      2.674         1.5373        0.733         0.79508       0.76581       0.01842       1      5      2.45          1.5644    
7      142       0.5           0.79508       0.72212       0.065297      1      5      2.6836        1.6091        0.75633       0.79508       0.77451       0.010429      1      5      2.45          1.5961    
8      135       0.4796        0.79508       0.7343        0.060197      1      5      2.6092        1.5189        0.75633       0.79508       0.77761       0.011055      1      5      2.3           1.4177    
9      128       0.49953       0.79508       0.75175       0.049447      1      5      2.5357        1.5271        0.75633       0.79508       0.78189       0.010749      1      5      2.5           1.5       
10     124       0.4796        0.79508       0.75802       0.051619      1      5      2.622         1.4579        0.76412       0.79508       0.78543       0.0096559     1      5      2.4           1.3928    
11     127       0.5           0.79508       0.75694       0.054767      1      5      2.5535        1.3947        0.76412       0.79508       0.78552       0.0096496     1      5      2.5           1.5       
12     120       0.49179       0.79508       0.75373       0.071961      1      5      2.5844        1.422         0.76412       0.79508       0.78552       0.0096496     1      5      2.4           1.3928    
13     115       0.5           0.79508       0.75165       0.070376      1      5      2.5           1.3204        0.76672       0.79508       0.78753       0.0086644     1      5      2.55          1.3955    
14     90        0.48741       0.79508       0.75198       0.080051      1      5      2.5           1.2856        0.76672       0.79508       0.78761       0.0086371     1      5      2.5           1.3601    
15     85        0.5           0.79508       0.76829       0.057958      1      5      2.3857        1.2905        0.76672       0.79508       0.78838       0.0084663     1      5      2.2           1.2884    
16     75        0.5           0.79508       0.76872       0.06053       1      5      2.1367        1.326         0.76672       0.79508       0.78791       0.0083424     1      5      2.3           1.2689    
17     61        0.70688       0.79508       0.78664       0.017961      1      5      2.3431        1.4369        0.76672       0.79508       0.78837       0.0084553     1      5      2.3           1.2689    
18     55        0.66607       0.79508       0.78886       0.020984      1      5      2.5328        1.4145        0.76672       0.79508       0.78837       0.0084553     1      5      2.3           1.2689    
19     58        0.75833       0.79508       0.79301       0.0071384     1      5      2.6131        1.539         0.76672       0.79508       0.78837       0.0084553     1      5      2.3           1.2689    
20     65        0.66925       0.79508       0.78659       0.02576       1      5      2.6569        1.4061        0.76672       0.79508       0.78883       0.008542      1      4      2.2           1.1225    
21     62        0.62804       0.79508       0.78484       0.030318      1      5      2.6204        1.3836        0.76672       0.79508       0.78883       0.008542      1      4      2.2           1.1225    
22     56        0.63182       0.79508       0.78722       0.025297      1      5      2.854         1.3538        0.76672       0.79508       0.78883       0.008542      1      4      2.2           1.1225    
23     52        0.73041       0.79508       0.79221       0.0096969     1      5      2.7737        1.3562        0.76672       0.79508       0.78883       0.008542      1      4      2.2           1.1225    
24     55        0.70094       0.79508       0.79011       0.017003      1      5      2.8029        1.3873        0.76672       0.79508       0.78883       0.008542      1      4      2.2           1.1225    
25     38        0.71467       0.79508       0.7915        0.013419      1      5      3.0073        1.4624        0.76672       0.79508       0.78883       0.008542      1      4      2.2           1.1225    
26     55        0.7423        0.79508       0.79285       0.0081178     1      5      3.1825        1.4307        0.76672       0.79508       0.78883       0.008542      1      4      2.2           1.1225    
27     59        0.733         0.80106       0.79357       0.0071475     1      5      3.2044        1.4805        0.76672       0.80106       0.78968       0.0088606     1      4      2.3           1.1       
28     79        0.76106       0.8013        0.79438       0.0041436     1      5      3.0365        1.4719        0.76672       0.8013        0.79001       0.0091564     1      5      2.4           1.241     
29     71        0.71486       0.8013        0.79202       0.011415      1      5      3.0657        1.4609        0.76672       0.8013        0.79001       0.0091564     1      5      2.4           1.241     
30     61        0.75633       0.8013        0.7937        0.0069154     1      5      3.1314        1.5082        0.77415       0.8013        0.79292       0.0080142     1      5      2.6           1.2806    
31     68        0.69705       0.8013        0.79072       0.018048      1      5      3.2555        1.538         0.77415       0.8013        0.79324       0.0082132     1      5      2.5           1.3229    
32     80        0.6772        0.8013        0.79192       0.016522      1      5      3.1679        1.531         0.77415       0.8013        0.7942        0.0087094     1      5      2.65          1.4925    
33     82        0.61645       0.8013        0.78597       0.031318      1      5      3.0365        1.5492        0.77415       0.8013        0.79419       0.0087082     1      5      2.75          1.4448    
34     69        0.77415       0.8013        0.79528       0.0050094     1      5      2.8676        1.5849        0.77415       0.8013        0.79419       0.0087082     1      5      2.75          1.4448    
--- 3600.9508187770844 sec ---
