pipeline	fitness	fit_time
simpleImputer('most_frequent');robustScaler(True,True);adaBoost(decisionTree('squared_error',3,4,0.000553416931564521,19),69,1.829981687197106,'SAMME.R')	57.082917322921766	1.0585906505584717
simpleImputer('most_frequent');robustScaler(False,True);adaBoost(decisionTree('friedman_mse',17,12,0.2767643366554816,10),46,0.6238536068448053,'SAMME')	53.78871963976735	1.2065000534057617
simpleImputer('median');robustScaler(False,True);adaBoost(decisionTree('poisson',28,7,0.19809967506781356,16),46,1.0568288122792593,'SAMME')	55.430619864814275	1.406609058380127
simpleImputer('mean');robustScaler(False,False);extraTreesRegressor(79,'absolute_error','log2',2,19,False)	59.97512424512786	1.6230432987213135
simpleImputer('most_frequent');robustScaler(True,False);adaBoost(decisionTree('squared_error',29,11,0.20496012027737498,8),63,1.6601910442079952,'SAMME')	54.44464690421798	1.795823097229004
simpleImputer('mean');standardScaler();adaBoost(decisionTree('absolute_error',20,2,0.6413495058866878,15),18,0.14245537866895078,'SAMME')	55.8466214978062	1.1598219871520996
simpleImputer('most_frequent');robustScaler(True,False);extraTreesRegressor(16,'squared_error','sqrt',8,11,True)	61.04754427037399	0.9354941844940186
simpleImputer('most_frequent');robustScaler(False,False);adaBoost(decisionTree('poisson',30,14,0.2112333379462924,18),52,0.09695738383932617,'SAMME')	55.51656387720633	1.1357824802398682
simpleImputer('mean');robustScaler(False,True);adaBoost(decisionTree('absolute_error',14,5,0.851334392030985,13),41,0.18708462464573444,'SAMME')	54.395676666232234	1.9838025569915771
simpleImputer('mean');minMaxScaler();adaBoost(decisionTree('absolute_error',22,9,0.5660264621497448,3),64,1.0446839086532345,'SAMME.R')	55.040974660352504	2.275759696960449
simpleImputer('most_frequent');robustScaler(False,False);adaBoost(decisionTree('poisson',0,3,0.7429502213593779,7),48,1.428378137416252,'SAMME')	eval_error (The 'max_depth' parameter of DecisionTreeRegressor must be an int in the range [1, inf) or None. Got 0 instead.)	eval_error (The 'max_depth' parameter of DecisionTreeRegressor must be an int in the range [1, inf) or None. Got 0 instead.)
simpleImputer('median');robustScaler(False,False);adaBoost(decisionTree('friedman_mse',30,20,0.08488684811401703,12),43,1.6571451794785736,'SAMME')	56.787168384571075	1.1906566619873047
simpleImputer('most_frequent');robustScaler(True,True);adaBoost(decisionTree('squared_error',27,13,0.10996591198471228,19),56,0.6508057086256043,'SAMME')	56.54159251240262	1.3366081714630127
simpleImputer('mean');standardScaler();linearRegression()	52.39623415245512	1.1004211902618408
simpleImputer('most_frequent');robustScaler(True,False);adaBoost(decisionTree('squared_error',27,20,0.6990421806622599,18),31,0.36327390998018494,'SAMME')	55.46857732465567	1.4460201263427734
simpleImputer('median');robustScaler(False,False);adaBoost(decisionTree('friedman_mse',16,5,0.7494327730839536,7),68,0.5848933498826885,'SAMME.R')	54.98338904043608	1.5012571811676025
mlpRegressor((62, 18),0.04856171507892712,0.08504291026680227,'adam','identity')	52.129059162029215	1.0669307708740234
simpleImputer('mean');robustScaler(False,False);adaBoost(decisionTree('friedman_mse',20,18,0.9244835271003488,13),74,0.19186570140109374,'SAMME')	53.990079074641145	1.6623048782348633
minMaxScaler();linearRegression()	52.39623415245512	0.7658929824829102
varianceThreshold();fastICA(67,'deflation','arbitrary-variance','cube');minMaxScaler();robustScaler(True,True);linearRegression()	52.396234152455136	0.9601829051971436
simpleImputer('mean');robustScaler(False,False);adaBoost(decisionTree('squared_error',23,19,0.2960103429555011,4),18,0.5953755990083385,'SAMME.R')	56.012079015401774	1.0011131763458252
simpleImputer('most_frequent');robustScaler(True,False);adaBoost(decisionTree('absolute_error',17,4,0.9412873808373797,1),84,1.977723791667423,'SAMME')	55.88679827580614	3.3828883171081543
simpleImputer('most_frequent');robustScaler(False,True);adaBoost(decisionTree('friedman_mse',13,18,0.6741627277942797,18),79,0.5002223650442716,'SAMME')	54.208599812805254	1.5443971157073975
simpleImputer('median');robustScaler(True,True);adaBoost(decisionTree('absolute_error',16,19,0.974185558804758,13),80,1.1371648790990094,'SAMME.R')	55.41442827745573	2.8844399452209473
simpleImputer('median');minMaxScaler();linearRegression()	52.39623415245512	1.1336534023284912
simpleImputer('most_frequent');robustScaler(True,True);adaBoost(decisionTree('poisson',28,8,0.14599782714709053,17),62,0.05281345883184188,'SAMME.R')	57.432277659114575	1.4777286052703857
simpleImputer('mean');robustScaler(True,False);adaBoost(decisionTree('friedman_mse',0,17,0.8667434316689449,14),33,0.06586137864065658,'SAMME')	eval_error (The 'max_depth' parameter of DecisionTreeRegressor must be an int in the range [1, inf) or None. Got 0 instead.)	eval_error (The 'max_depth' parameter of DecisionTreeRegressor must be an int in the range [1, inf) or None. Got 0 instead.)
simpleImputer('most_frequent');robustScaler(False,True);adaBoost(decisionTree('poisson',2,15,0.14878417761000196,4),92,0.7520087849675532,'SAMME.R')	58.17649027185381	1.3236851692199707
selectPercentile(27.459461870759352);fastICA(75,'parallel','unit-variance','cube');kNN(20,'uniform',2)	56.259739842092664	1.759984016418457
simpleImputer('mean');standardScaler();linearRegression()	52.39623415245512	1.885026454925537
simpleImputer('median');minMaxScaler();adaBoost(decisionTree('squared_error',28,13,0.6712368520447348,15),26,0.2450187831703362,'SAMME.R')	54.85167395817766	2.2854979038238525
simpleImputer('median');standardScaler();randomForest(30,'absolute_error',0.6300150872131514,8,7,False)	56.27108860600671	3.04683518409729
simpleImputer('most_frequent');robustScaler(False,False);adaBoost(decisionTree('absolute_error',29,3,0.16778958063636207,4),74,0.16127135432748024,'SAMME.R')	55.70956390288401	4.232277154922485
simpleImputer('most_frequent');robustScaler(True,True);adaBoost(decisionTree('absolute_error',29,20,0.23756713552221476,1),84,0.07001297015207358,'SAMME.R')	55.121265748276116	5.574275970458984
