[1/5] ⚙️  Configuration
    - Generations: 200, Population Size: 200
    - Elite Size: 20, Timeout: 3600s
    - Fitness Function: balanced_accuracy_score, Maximization: True
    - Output Directory: /hhome/bpicot25/autoML_uco/evoflow-dev-main/pipegenie/metalearning/temp_results/task_232
    - Random Seed: 42
--- PipeGenie Run Started ---
🕒 Start Time: 2025-07-11 12:32:44
[2/5] 🌱 Initializing evolutionary process...
    - Using meta-learning to warm-start population...
    - Seeding population with 50 pipeline(s) from past runs.
                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      200       0.20957       0.949         0.74696       0.20628       3      4      3.75          0.43301       0.90362       0.949         0.91255       0.010928      3      4      3.85          0.35707   
1      154       0.16615       0.949         0.80912       0.16146       3      4      3.79          0.40731       0.89566       0.949         0.91441       0.012041      3      4      3.75          0.43301   
2      143       0.14615       0.96938       0.85419       0.10927       3      4      3.81          0.3923        0.89245       0.96938       0.92801       0.022262      3      4      3.65          0.47697   
3      133       0.14615       0.97855       0.88605       0.071389      3      4      3.765         0.424         0.9222        0.97855       0.94446       0.012828      3      4      3.75          0.43301   
4      129       0.67923       0.97855       0.90119       0.038143      3      4      3.79          0.40731       0.93226       0.97855       0.94843       0.012645      3      4      3.6           0.4899    
5      114       0.86236       0.97855       0.91872       0.021686      3      4      3.775         0.41758       0.92653       0.97855       0.95423       0.014825      3      4      3.5           0.5       
6      141       0.87427       0.97855       0.92447       0.023439      3      4      3.745         0.43586       0.94426       0.97855       0.96535       0.0091797     3      4      3.5           0.5       
7      136       0.87176       0.97998       0.93235       0.025181      3      4      3.74          0.43863       0.96539       0.97998       0.97108       0.0050346     3      4      3.4           0.4899    
8      147       0.81356       0.98205       0.93988       0.028705      3      4      3.715         0.45141       0.96539       0.98205       0.97487       0.0048707     3      4      3.4           0.4899    
9      127       0.73395       0.98205       0.94689       0.039091      3      4      3.69          0.46249       0.96539       0.98205       0.97546       0.0044704     3      4      3.4           0.4899    
10     124       0.82077       0.98644       0.95421       0.027507      3      4      3.67          0.47021       0.96539       0.98644       0.97776       0.0045609     3      4      3.55          0.49749   
11     146       0.81184       0.98644       0.95653       0.030514      3      4      3.655         0.47537       0.96539       0.98644       0.97826       0.0048815     3      4      3.6           0.4899    
12     115       0.86609       0.98644       0.96336       0.023539      3      4      3.745         0.43586       0.96539       0.98644       0.97823       0.0048723     3      4      3.55          0.49749   
13     110       0.87613       0.98644       0.96868       0.020144      3      4      3.77          0.42083       0.96539       0.98644       0.97889       0.0050291     3      4      3.55          0.49749   
14     122       0.93049       0.98729       0.973         0.013937      3      4      3.85          0.35707       0.96938       0.98729       0.98119       0.0050717     3      4      3.65          0.47697   
15     95        0.89213       0.98729       0.97178       0.019799      3      4      3.89          0.31289       0.96938       0.98729       0.98182       0.005302      3      4      3.65          0.47697   
16     120       0.89793       0.98729       0.97748       0.013057      3      4      3.905         0.29321       0.96938       0.98729       0.98184       0.0053165     3      4      3.65          0.47697   
17     109       0.89389       0.98729       0.97648       0.01732       3      4      3.94          0.23749       0.96938       0.98729       0.98191       0.0053615     3      4      3.65          0.47697   
18     142       0.90721       0.98729       0.97697       0.015864      3      4      3.945         0.22798       0.96938       0.98729       0.982         0.0054419     3      4      3.65          0.47697   
19     105       0.86393       0.98729       0.97797       0.018674      3      4      3.96          0.19596       0.96938       0.98729       0.982         0.0054419     3      4      3.65          0.47697   
20     131       0.91115       0.98729       0.97711       0.016504      3      4      3.965         0.18378       0.96938       0.98729       0.982         0.0054419     3      4      3.65          0.47697   
21     116       0.8957        0.98729       0.97785       0.018332      3      4      3.96          0.19596       0.96938       0.98729       0.983         0.0053179     3      4      3.7           0.45826   
