[1/5] ⚙️  Configuration
    - Generations: 200, Population Size: 200
    - Elite Size: 20, Timeout: 3600s
    - Fitness Function: balanced_accuracy_score, Maximization: True
    - Output Directory: /hhome/bpicot25/autoML_uco/evoflow-dev-main/pipegenie/metalearning/temp_results/task_241
    - Random Seed: 42
--- PipeGenie Run Started ---
🕒 Start Time: 2025-07-11 11:31:05
[2/5] 🌱 Initializing evolutionary process...
    - Using meta-learning to warm-start population...
    - Seeding population with 50 pipeline(s) from past runs.
                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      200       0.33333       0.95482       0.606         0.091376      3      4      3.745         0.43586       0.65223       0.91972       0.70784       0.075725      3      4      3.75          0.43301   
1      148       0.39231       0.91972       0.62054       0.085645      3      4      3.79          0.40731       0.67223       0.91972       0.76931       0.075712      3      4      3.85          0.35707   
2      135       0.35386       0.97863       0.66215       0.08437       3      4      3.82          0.38419       0.73475       0.97863       0.8175        0.058653      3      4      3.95          0.21794   
3      130       0.33333       0.97863       0.68317       0.093359      3      4      3.855         0.3521        0.78684       0.97863       0.85431       0.057695      3      4      3.95          0.21794   
4      128       0.49628       0.97863       0.71794       0.09569       3      4      3.905         0.29321       0.81227       0.97863       0.87561       0.049471      3      4      3.9           0.3       
5      139       0.57952       0.97863       0.75301       0.098979      3      4      3.91          0.28618       0.86677       0.97863       0.91819       0.022101      4      4      4             0         
6      140       0.59546       0.97871       0.79214       0.10327       3      4      3.93          0.25515       0.90896       0.97871       0.93279       0.022707      3      4      3.95          0.21794   
7      129       0.618         0.98038       0.84719       0.090599      3      4      3.95          0.21794       0.91972       0.98038       0.9469        0.02234       3      4      3.9           0.3       
8      115       0.4229        0.98038       0.8798        0.094787      3      4      3.95          0.21794       0.91972       0.98038       0.95914       0.01884       3      4      3.85          0.35707   
9      130       0.61158       0.98038       0.91231       0.068349      3      4      3.965         0.18378       0.94918       0.98038       0.96664       0.012026      3      4      3.85          0.35707   
10     124       0.68481       0.99149       0.93251       0.051983      3      4      3.945         0.22798       0.97529       0.99149       0.97814       0.0035766     3      4      3.75          0.43301   
11     154       0.48081       0.99149       0.9248        0.097988      3      4      3.9           0.3           0.97529       0.99149       0.97987       0.0035757     3      4      3.65          0.47697   
12     132       0.57198       0.99149       0.94461       0.077298      3      4      3.855         0.3521        0.97529       0.99149       0.98213       0.0052153     3      4      3.8           0.4       
13     132       0.465         0.99149       0.94286       0.091655      3      4      3.835         0.37118       0.97696       0.99149       0.98397       0.0055892     3      4      3.75          0.43301   
14     138       0.47778       0.99149       0.95377       0.076651      3      4      3.855         0.3521        0.97696       0.99149       0.98576       0.0056766     3      4      3.75          0.43301   
15     123       0.4514        0.99149       0.95497       0.081433      3      4      3.845         0.3619        0.97863       0.99149       0.98854       0.0044522     3      4      3.85          0.35707   
16     117       0.57981       0.99149       0.97295       0.047217      3      4      3.945         0.22798       0.97863       0.99149       0.98914       0.0045275     3      4      3.95          0.21794   
17     121       0.61865       0.99149       0.97037       0.055531      3      4      3.97          0.17059       0.97863       0.99149       0.99021       0.0038465     3      4      3.95          0.21794   
18     118       0.61467       0.99149       0.97584       0.043155      3      4      3.98          0.14          0.97863       0.99149       0.99068       0.0028103     4      4      4             0         
19     124       0.60207       0.99149       0.97135       0.065391      3      4      3.99          0.099499      0.97863       0.99149       0.99068       0.0028103     4      4      4             0         
20     128       0.52076       0.99149       0.96906       0.071971      3      4      3.99          0.099499      0.97863       0.99149       0.9906        0.0028098     4      4      4             0         
21     116       0.55384       0.99149       0.97167       0.071739      4      4      4             0             0.97863       0.99149       0.99051       0.0028067     4      4      4             0         
22     126       0.62911       0.99149       0.9752        0.062781      4      4      4             0             0.97863       0.99149       0.99051       0.0028067     4      4      4             0         
23     123       0.67856       0.99149       0.9828        0.037184      4      4      4             0             0.97863       0.99149       0.99051       0.0028067     4      4      4             0         
24     120       0.58641       0.99149       0.97791       0.061323      3      4      3.995         0.070534      0.97863       0.99149       0.99051       0.0028067     4      4      4             0         
25     123       0.41234       0.99149       0.97699       0.069973      4      4      4             0             0.97863       0.99149       0.99051       0.0028067     4      4      4             0         
26     142       0.61225       0.99149       0.98011       0.054332      4      4      4             0             0.97863       0.99149       0.99051       0.0028067     4      4      4             0         
