[1/5] ⚙️  Configuration
    - Generations: 200, Population Size: 200
    - Elite Size: 20, Timeout: 3600s
    - Fitness Function: root_mean_squared_error, Maximization: False
    - Output Directory: /hhome/bpicot25/autoML_uco/evoflow-dev-main/pipegenie/metalearning/temp_results/task_359997
    - Random Seed: 42
--- PipeGenie Run Started ---
🕒 Start Time: 2025-07-12 11:12:32
[2/5] 🌱 Initializing evolutionary process...
                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      200       0.44099       1.6841        0.66342       0.1945        3      3      3             0             0.44099       0.47208       0.46168       0.008338      3      3      3             0         
1      163       0.43636       5.4258        0.60653       0.40965       3      3      3             0             0.43636       0.46192       0.45285       0.0076001     3      3      3             0         
2      168       0.43636       0.85514       0.51486       0.099125      3      3      3             0             0.43636       0.45071       0.44611       0.0042001     3      3      3             0         
3      166       0.43121       0.85514       0.48142       0.067648      3      3      3             0             0.43121       0.44494       0.44022       0.003182      3      3      3             0         
4      157       0.43121       0.82799       0.46567       0.045204      3      3      3             0             0.43121       0.44099       0.43783       0.003377      3      3      3             0         
5      159       0.43121       0.86025       0.46474       0.063312      3      3      3             0             0.43121       0.43954       0.43617       0.0026958     3      3      3             0         
6      154       0.43121       0.85514       0.46167       0.065065      3      3      3             0             0.43121       0.43636       0.43402       0.0015818     3      3      3             0         
7      148       0.42123       0.8644        0.46114       0.068432      3      3      3             0             0.42123       0.4342        0.43251       0.0028172     3      3      3             0         
8      155       0.42123       0.86352       0.45621       0.071322      3      3      3             0             0.42123       0.43304       0.4307        0.0032588     3      3      3             0         
9      142       0.42123       0.85176       0.44686       0.043137      3      3      3             0             0.42123       0.43149       0.42872       0.0038675     3      3      3             0         
10     151       0.42123       0.85114       0.44635       0.040519      3      3      3             0             0.42123       0.43083       0.42773       0.0039655     3      3      3             0         
11     150       0.42123       0.58695       0.44027       0.017028      3      3      3             0             0.42123       0.42995       0.4254        0.0037502     3      3      3             0         
12     135       0.42095       0.48856       0.43742       0.010269      3      3      3             0             0.42095       0.42722       0.42354       0.0023939     3      3      3             0         
13     150       0.42095       0.54886       0.4384        0.016043      3      3      3             0             0.42095       0.42583       0.42252       0.0015887     3      3      3             0         
14     150       0.42095       0.50619       0.43667       0.012318      3      3      3             0             0.42095       0.42341       0.42176       0.00095378    3      3      3             0         
15     153       0.41818       0.46494       0.4345        0.0087592     3      3      3             0             0.41818       0.42123       0.42105       0.00066339    3      3      3             0         
16     141       0.41818       0.8692        0.4429        0.054186      3      3      3             0             0.41818       0.42123       0.42104       0.00066242    3      3      3             0         
17     142       0.41818       0.5324        0.43492       0.017414      3      3      3             0             0.41818       0.42123       0.42099       0.00065762    3      3      3             0         
