pipeline	fitness	fit_time
simpleImputer('mean');robustScaler(False,True);adaBoost(decisionTree('squared_error',0,12,0.6479699172777137,6),41,0.7712637277544231,'SAMME.R')	eval_error (The 'max_depth' parameter of DecisionTreeRegressor must be an int in the range [1, inf) or None. Got 0 instead.)	eval_error (The 'max_depth' parameter of DecisionTreeRegressor must be an int in the range [1, inf) or None. Got 0 instead.)
simpleImputer('median');standardScaler();decisionTree('absolute_error',26,10,0.5786314349200581,19)	12.267827392240404	2.204435110092163
simpleImputer('mean');robustScaler(True,False);adaBoost(decisionTree('absolute_error',30,2,0.11534175185142759,9),32,0.9003085867667261,'SAMME')	4.902488873166241	2.8341586589813232
simpleImputer('median');robustScaler(False,False);decisionTree('friedman_mse',30,7,0.5206062873317038,17)	13.097954773954275	2.933849573135376
simpleImputer('median');robustScaler(True,True);decisionTree('friedman_mse',28,9,0.9588968160739335,11)	13.221119582716412	2.1646783351898193
simpleImputer('most_frequent');robustScaler(True,True);adaBoost(decisionTree('squared_error',27,7,0.06852133270379235,3),96,1.581008232928234,'SAMME')	9.773028900902876	2.691990852355957
simpleImputer('most_frequent');robustScaler(False,True);adaBoost(decisionTree('poisson',6,15,0.8248476476360221,16),44,0.4353968144233949,'SAMME')	4.581451359992145	3.178053140640259
simpleImputer('median');robustScaler(False,False);adaBoost(decisionTree('friedman_mse',22,12,0.107765747287492,14),15,1.7696844140175778,'SAMME.R')	9.009239432838251	2.4396541118621826
simpleImputer('median');robustScaler(False,False);extraTreesRegressor(33,'absolute_error','sqrt',12,15,True)	12.267827392240404	2.5400571823120117
simpleImputer('mean');standardScaler();linearRegression()	3.399457596101864	4.042252540588379
simpleImputer('most_frequent');minMaxScaler();adaBoost(decisionTree('friedman_mse',13,17,0.4774485204408965,7),46,0.43274672728672503,'SAMME.R')	4.794062208811103	4.33158540725708
simpleImputer('mean');robustScaler(True,False);adaBoost(decisionTree('friedman_mse',9,5,0.47078087276178693,9),81,1.317549487504417,'SAMME.R')	4.820975448501395	3.557769536972046
simpleImputer('mean');robustScaler(True,False);adaBoost(decisionTree('absolute_error',24,7,0.5393790301196257,17),10,0.9386629119211679,'SAMME')	4.826757593527738	2.747572898864746
simpleImputer('median');minMaxScaler();kNN(48,'distance',1)	9.007008018497555	3.358456611633301
simpleImputer('most_frequent');robustScaler(True,False);adaBoost(decisionTree('squared_error',9,4,0.3463635140956165,15),93,0.3352668122709491,'SAMME')	4.8153232772613395	3.829913854598999
simpleImputer('most_frequent');robustScaler(True,False);adaBoost(decisionTree('poisson',26,5,0.20557956798191523,14),92,1.457438920825263,'SAMME.R')	10.289015965813698	3.5411455631256104
simpleImputer('most_frequent');maxAbsScaler();adaBoost(decisionTree('squared_error',13,16,0.6893711357847689,16),47,0.046534364286961574,'SAMME')	7.318152252778448	4.031791925430298
simpleImputer('most_frequent');robustScaler(False,False);adaBoost(decisionTree('squared_error',9,4,0.25068761481495494,7),84,0.716583531492476,'SAMME')	4.695881540280598	4.100580215454102
simpleImputer('mean');robustScaler(True,True);adaBoost(decisionTree('friedman_mse',20,6,0.9198941246547542,20),97,0.6348594220619902,'SAMME.R')	4.8291825794754555	4.36682391166687
simpleImputer('mean');minMaxScaler();extraTreesRegressor(98,'squared_error','log2',8,17,True)	12.763919415831177	3.8655319213867188
simpleImputer('most_frequent');maxAbsScaler();linearRegression()	3.3994575961018496	4.887135028839111
simpleImputer('most_frequent');robustScaler(True,True);adaBoost(decisionTree('friedman_mse',4,8,0.3426698849290001,19),68,0.1804231984112905,'SAMME.R')	4.799831387897905	4.652317523956299
simpleImputer('mean');robustScaler(False,True);adaBoost(decisionTree('friedman_mse',14,5,0.2623533954523609,16),77,1.890723364406449,'SAMME')	5.714797387838082	3.701537847518921
simpleImputer('median');robustScaler(False,True);adaBoost(decisionTree('friedman_mse',10,4,0.9222261045112223,12),21,0.8095466829997284,'SAMME.R')	4.762039300572752	3.7657899856567383
simpleImputer('most_frequent');robustScaler(True,False);kNN(2,'uniform',2)	6.347568716170009	4.178512096405029
simpleImputer('mean');standardScaler();adaBoost(decisionTree('absolute_error',22,14,0.5860166631715906,11),48,0.434987540970189,'SAMME.R')	4.971355733376558	4.3613035678863525
simpleImputer('median');maxAbsScaler();linearRegression()	3.3994575961018496	4.246413946151733
simpleImputer('most_frequent');robustScaler(True,True);adaBoost(decisionTree('absolute_error',15,19,0.08802066882265647,7),74,1.8934782326666053,'SAMME.R')	9.674768287988073	4.563835620880127
simpleImputer('most_frequent');maxAbsScaler();adaBoost(decisionTree('squared_error',30,6,0.5455902892055223,12),84,0.8431266290100057,'SAMME')	4.733935962278284	4.916796684265137
simpleImputer('mean');robustScaler(False,True);adaBoost(decisionTree('friedman_mse',7,10,0.8110742367826583,3),83,0.5607952621132445,'SAMME.R')	4.80827136237808	5.316561222076416
simpleImputer('mean');robustScaler(True,True);decisionTree('squared_error',24,12,0.880131900108576,14)	14.05861315328579	3.4836344718933105
simpleImputer('mean');robustScaler(False,False);adaBoost(decisionTree('absolute_error',17,17,0.6230419928574829,5),98,1.1611890790019,'SAMME.R')	4.98737227748566	6.064661264419556
simpleImputer('median');robustScaler(False,True);randomForest(61,'squared_error',0.5440298963878942,10,11,False)	11.98644624483448	4.047336578369141
